participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P5,1,40,1.1490950876185004,0.0302604365654998,balanced_cleaned,False
P5,2,185,5.314564780235564,0.0298250507482204,balanced_cleaned,False
P5,3,327,9.39385234128124,0.0370306027883128,balanced_cleaned,False
P5,4,466,13.38695777075553,0.0252607382523074,balanced_cleaned,False
P5,5,605,17.380063200229817,0.0195852040675214,balanced_cleaned,False
P5,6,745,21.401896006894567,0.0296360804088595,balanced_cleaned,False
P5,7,889,25.53863832232117,0.0330671799462609,balanced_cleaned,False
P5,8,1028,29.53174375179546,0.0271716111767522,balanced_cleaned,False
P5,9,1166,33.49612180407929,0.0266652403629621,balanced_cleaned,False
P5,10,1304,37.460499856363114,0.0189919232363462,balanced_cleaned,False
P5,11,1449,41.62596954898017,0.0336674774373731,balanced_cleaned,False
P5,12,1591,45.705257110025855,0.0163837480877933,balanced_cleaned,False
P5,13,1720,49.411088767595515,0.0457297887160637,balanced_cleaned,False
P5,14,1867,53.6340132145935,0.032580593159978,balanced_cleaned,False
P5,15,2011,57.770755530020104,0.0151240040551104,balanced_cleaned,False
P5,16,2145,61.62022407354208,0.0262727832354966,balanced_cleaned,False
P5,17,2285,65.64205688020684,0.0234768547501091,balanced_cleaned,False
P5,18,2429,69.77879919563344,0.0189584270251363,balanced_cleaned,False
P5,19,2565,73.68572249353633,0.0201831037356029,balanced_cleaned,False
P5,20,2704,77.67882792301063,0.0257635626748792,balanced_cleaned,False
P5,21,2844,81.70066072967538,0.0258581261431667,balanced_cleaned,False
P5,22,2987,85.80867566791152,0.0247052846556158,balanced_cleaned,False
P5,23,3130,89.91669060614765,0.0262990963871519,balanced_cleaned,False
P5,24,3269,93.90979603562194,0.0216174982094235,balanced_cleaned,False
P5,25,3415,98.10399310542948,0.023572058167315,balanced_cleaned,False
P5,26,3549,101.95346164895145,0.021004105047141,balanced_cleaned,False
P5,27,3690,106.00402183280666,0.0272168630865717,balanced_cleaned,False
P5,28,3826,109.91094513070956,0.0293244285050086,balanced_cleaned,False
P5,29,3965,113.90405056018383,0.02300260288636,balanced_cleaned,False
P5,30,4112,118.12697500718184,0.0216233360003164,balanced_cleaned,False
P5,31,4250,122.09135305946566,0.0249029221318763,balanced_cleaned,False
P5,32,4387,126.02700373455905,0.0230018248044696,balanced_cleaned,False
P5,33,4534,130.249928181557,0.0209697919950648,balanced_cleaned,False
P5,34,4673,134.2430336110313,0.0207501415026526,balanced_cleaned,False
P5,35,4813,138.26486641769606,0.0192480090597718,balanced_cleaned,False
P5,36,4951,142.22924446997988,0.0173719718494685,balanced_cleaned,False
P5,37,5092,146.2798046538351,0.0224560330226847,balanced_cleaned,False
P5,38,5229,150.21545532892847,0.0248637718089164,balanced_cleaned,False
P5,39,5375,154.40965239873597,0.0217583103170411,balanced_cleaned,False
P5,40,5514,158.40275782821027,0.0262909880783307,balanced_cleaned,False
P5,41,5647,162.2234989945418,0.0225154814586708,balanced_cleaned,False
P5,42,5786,166.21660442401608,0.0153779862370653,balanced_cleaned,False
P5,43,5926,170.23843723068083,0.0235017891853267,balanced_cleaned,False
P5,44,6069,174.34645216891695,0.0252291011925285,balanced_cleaned,False
P5,45,6215,178.54064923872448,0.0279187953168143,balanced_cleaned,False
P5,46,6347,182.33266302786555,0.018067916246013,balanced_cleaned,False
P5,47,6494,186.55558747486353,0.0233137586192298,balanced_cleaned,False
P5,48,6556,188.3366848606722,0.0281198693046416,balanced_cleaned,False
