participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P1,1,192,5.515656420568802,0.0280028039171043,balanced_cleaned,False
P1,2,332,9.537489227233554,0.0233758363349123,balanced_cleaned,False
P1,3,475,13.645504165469692,0.0285371776104078,balanced_cleaned,False
P1,4,617,17.724791726515367,0.025293088601489,balanced_cleaned,False
P1,5,751,21.574260270037342,0.016235469018864,balanced_cleaned,False
P1,6,890,25.567365699511633,0.0234146911264661,balanced_cleaned,False
P1,7,1038,29.819017523700083,0.0189892115627184,balanced_cleaned,False
P1,8,1176,33.78339557598391,0.0190351983382163,balanced_cleaned,False
P1,9,1311,37.661591496696346,0.0199559442801477,balanced_cleaned,False
P1,10,1456,41.82706118931341,0.0194507150454359,balanced_cleaned,False
P1,11,1588,45.619074978454464,0.0172767242828294,balanced_cleaned,False
P1,12,1732,49.755817293881066,0.0186077207030617,balanced_cleaned,False
P1,13,1871,53.74892272335536,0.0179508907603215,balanced_cleaned,False
P1,14,2010,57.74202815282964,0.0170299749704911,balanced_cleaned,False
P1,15,2159,62.02240735420855,0.0214959886909087,balanced_cleaned,False
P1,16,2302,66.13042229244469,0.0160035883197903,balanced_cleaned,False
P1,17,2440,70.09480034472853,0.0178738471655149,balanced_cleaned,False
P1,18,2590,74.4039069232979,0.0130015878263861,balanced_cleaned,True
P1,19,2731,78.4544671071531,0.0194068424258271,balanced_cleaned,False
P1,20,2861,82.18902614191323,0.0204875785147923,balanced_cleaned,False
P1,21,2995,86.03849468543521,0.0215198239326401,balanced_cleaned,False
P1,22,3146,90.37632864119506,0.0225422236406115,balanced_cleaned,False
P1,23,3275,94.08216029876472,0.0203943489808548,balanced_cleaned,False
P1,24,3425,98.39126687733408,0.0254818404700763,balanced_cleaned,False
P1,25,3560,102.26946279804652,0.0204176608266312,balanced_cleaned,False
P1,26,3695,106.14765871875898,0.0225493311730317,balanced_cleaned,False
P1,27,3852,110.65785693766158,0.022511544432322,balanced_cleaned,False
P1,28,3983,114.42114334961217,0.0241322221601951,balanced_cleaned,False
P1,29,4126,118.5291582878483,0.0226529385775285,balanced_cleaned,False
P1,30,4258,122.32117207698936,0.0208457765614575,balanced_cleaned,False
P1,31,4416,126.86009767308244,0.0173499221203592,balanced_cleaned,False
P1,32,4535,130.2786555587475,0.0182490875374177,balanced_cleaned,False
P1,33,4678,134.3866704969836,0.0188261804190511,balanced_cleaned,False
P1,34,4819,138.43723068083884,0.0211295796372401,balanced_cleaned,False
P1,35,4960,142.48779086469403,0.0207487777695538,balanced_cleaned,False
P1,36,5104,146.62453318012064,0.0224285423888074,balanced_cleaned,False
P1,37,5239,150.50272910083308,0.0240223924740079,balanced_cleaned,False
P1,38,5381,154.58201666187875,0.0175908897654139,balanced_cleaned,False
P1,39,5518,158.51766733697212,0.0234909123061231,balanced_cleaned,False
P1,40,5659,162.56822752082735,0.0262820405318036,balanced_cleaned,False
P1,41,5802,166.67624245906347,0.025194707925673,balanced_cleaned,False
P1,42,5940,170.6406205113473,0.0187282252245901,balanced_cleaned,False
P1,43,6080,174.66245331801204,0.0205288375435089,balanced_cleaned,False
P1,44,6222,178.74174087905772,0.0232123878293292,balanced_cleaned,False
P1,45,6368,182.93593794886525,0.021442599619847,balanced_cleaned,False
P1,46,6509,186.98649813272047,0.0195584703695067,balanced_cleaned,False
P1,47,6647,190.9508761850043,0.0233788594896629,balanced_cleaned,False
P1,48,6794,195.1738006320023,0.0229737090756489,balanced_cleaned,False
P1,49,6931,199.10945130709564,0.0206034201094063,balanced_cleaned,False
P1,50,7068,203.045101982189,0.0212129365357154,balanced_cleaned,False
P1,51,7207,207.0382074116633,0.027680951710267,balanced_cleaned,False
P1,52,7352,211.20367710428036,0.026286469064521,balanced_cleaned,False
