participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P9,1,122,3.504740017236426,0.0277280299724097,balanced_cleaned,False
P9,2,269,7.727664464234415,0.034431930424334,balanced_cleaned,False
P9,3,410,11.778224648089628,0.0311609704583146,balanced_cleaned,False
P9,4,544,15.627693191611606,0.0353565699774435,balanced_cleaned,False
P9,5,688,19.764435507038208,0.0394378265079664,balanced_cleaned,False
P9,6,835,23.987359954036194,0.0540340810871232,balanced_cleaned,False
P9,7,968,27.80810112036771,0.0548394646474788,balanced_cleaned,False
P9,8,1106,31.772479172651536,0.0467130364268449,balanced_cleaned,False
P9,9,1248,35.85176673369721,0.0470296835985149,balanced_cleaned,False
P9,10,1386,39.81614478598104,0.0421094737995328,balanced_cleaned,False
P9,11,1529,43.924159724217176,0.0672542260478555,balanced_cleaned,False
P9,12,1677,48.175811548405626,0.0413313521688527,balanced_cleaned,False
P9,13,1814,52.11146222349899,0.0441777087331216,balanced_cleaned,False
P9,14,1954,56.133295030163744,0.0415946135713685,balanced_cleaned,False
P9,15,2095,60.183855214018955,0.0515437029114661,balanced_cleaned,False
P9,16,2230,64.06205113473139,0.0367908361450108,balanced_cleaned,False
P9,17,2368,68.02642918701522,0.041287485806529,balanced_cleaned,False
P9,18,2510,72.1057167480609,0.0314095419327784,balanced_cleaned,False
P9,19,2649,76.09882217753518,0.0402539148548104,balanced_cleaned,False
P9,20,2794,80.26429187015225,0.0295393702887896,balanced_cleaned,False
P9,21,2924,83.99885090491237,0.0473319301629031,balanced_cleaned,False
P9,22,3070,88.1930479747199,0.0458859215474121,balanced_cleaned,False
P9,23,3213,92.30106291295604,0.0341024545435139,balanced_cleaned,False
P9,24,3357,96.43780522838264,0.0240447702859682,balanced_cleaned,False
P9,25,3495,100.40218328066646,0.0330708361447257,balanced_cleaned,False
P9,26,3629,104.25165182418844,0.0437808790812563,balanced_cleaned,False
P9,27,3772,108.35966676242458,0.0357761225514742,balanced_cleaned,False
P9,28,3914,112.43895432347026,0.0254773822543477,balanced_cleaned,False
P9,29,4041,116.087331226659,0.2119987821119899,balanced_cleaned,False
P9,30,4131,118.67279517380062,0.0780513868061444,balanced_cleaned,False
P9,31,4332,124.44699798908358,0.0250109586896944,balanced_cleaned,False
P9,32,4472,128.46883079574835,0.0187107883128553,balanced_cleaned,True
P9,33,4614,132.54811835679402,0.0312487553300193,balanced_cleaned,False
P9,34,4754,136.56995116345877,0.0370582274109564,balanced_cleaned,False
P9,35,4903,140.85033036483767,0.0222896261217434,balanced_cleaned,False
P9,36,5041,144.8147084171215,0.0226705599655439,balanced_cleaned,False
P9,37,5177,148.72163171502442,0.039211733360621,balanced_cleaned,False
P9,38,5311,152.57110025854638,0.0366192889928191,balanced_cleaned,False
P9,39,5458,156.79402470554436,0.0181490314247207,balanced_cleaned,True
P9,40,5596,160.7584027578282,0.0193192937894212,balanced_cleaned,True
P9,41,5727,164.5216891697788,0.0322930990723436,balanced_cleaned,False
P9,42,5872,168.68715886239585,0.0191815522846358,balanced_cleaned,True
P9,43,6011,172.68026429187017,0.0244856119358944,balanced_cleaned,False
P9,44,6156,176.8457339844872,0.0231845845577214,balanced_cleaned,False
P9,45,6290,180.6952025280092,0.0432442861850508,balanced_cleaned,False
P9,46,6434,184.8319448434358,0.0301180567754654,balanced_cleaned,False
P9,47,6582,189.08359666762425,0.0224487052456714,balanced_cleaned,False
